run_id,figure_id,x_value,x_label,x_unit,repeat_id,uav_speed_km_h,scan_radius_km,turn_radius_km,target_speed_km_h,t90_h,t95_h,t99_h,status,fail_reason,steps,wall_time_s,final_remaining
20260406_020813_16_000_01,16,100.0,UAV Speed,km/h,1,100.0,10.0,10.0,30.0,98.56000000001352,107.60000000001814,225.02999999994032,success_99,,22503,45.555394597000486,99968
20260406_020813_16_000_02,16,100.0,UAV Speed,km/h,2,100.0,10.0,10.0,30.0,98.56000000001352,107.62000000001815,225.01999999994032,success_99,,22502,45.504756045998874,99956
20260406_020813_16_000_03,16,100.0,UAV Speed,km/h,3,100.0,10.0,10.0,30.0,98.56000000001352,107.63000000001816,225.0599999999403,success_99,,22506,44.47803178100003,99954
20260406_020813_16_000_04,16,100.0,UAV Speed,km/h,4,100.0,10.0,10.0,30.0,98.56000000001352,107.56000000001812,225.0399999999403,success_99,,22504,45.15770600900032,99981
20260406_020813_16_000_05,16,100.0,UAV Speed,km/h,5,100.0,10.0,10.0,30.0,98.56000000001352,107.67000000001818,225.0599999999403,success_99,,22506,46.86597001799964,99967
20260406_020813_16_001_01,16,110.0,UAV Speed,km/h,1,110.0,10.0,10.0,30.0,89.77000000000902,97.20000000001282,205.38999999995818,success_99,,20539,45.56853099100044,99981
20260406_020813_16_001_02,16,110.0,UAV Speed,km/h,2,110.0,10.0,10.0,30.0,89.77000000000902,97.18000000001281,205.3699999999582,success_99,,20537,44.59389306199955,99965
20260406_020813_16_001_03,16,110.0,UAV Speed,km/h,3,110.0,10.0,10.0,30.0,89.76000000000901,97.22000000001283,205.40999999995816,success_99,,20541,48.8356317380003,99929
20260406_020813_16_001_04,16,110.0,UAV Speed,km/h,4,110.0,10.0,10.0,30.0,89.76000000000901,96.98000000001271,205.38999999995818,success_99,,20539,43.676617901999634,99927
20260406_020813_16_001_05,16,110.0,UAV Speed,km/h,5,110.0,10.0,10.0,30.0,89.76000000000901,97.1500000000128,205.39999999995817,success_99,,20540,45.062690020000446,99926
20260406_020813_16_002_01,16,120.0,UAV Speed,km/h,1,120.0,10.0,10.0,30.0,82.05000000000507,87.61000000000791,188.12999999997388,success_99,,18813,43.024200862000725,99962
