N,uav_id,d_in_km,W_i_km,x_left_km,x_right_km,T_star_h,t_in_h,t_done_h
1,0,464.6342647717665,306.0,0.0,306.0,48.385561765145106,3.0975617651451097,29.70971490849557
2,0,464.6342647717665,155.74857128847103,0.0,155.74857128847103,26.148350315838826,3.0975617651451097,16.194198826581026
2,1,586.6708299798811,150.25142871152894,155.74857128847103,306.0,26.148350315838826,3.9111388684064816,17.0077759298424
3,0,464.6342647717665,105.70987026433406,0.0,105.70987026433406,18.74262256426655,3.0975617651451097,12.815319806102389
3,1,545.5948771030318,102.06299583499779,105.70987026433406,207.77286609933185,18.74262256426655,3.6372991812172186,13.355057222174498
3,2,630.7510120451494,98.22713390066816,207.77286609933185,306.0,18.74262256426655,4.205006742980375,13.922764783937655
4,0,464.6342647717665,80.71283122480695,0.0,80.71283122480695,15.04306078641654,3.0975617651451097,12.815319806102389
4,1,525.6574295361044,77.96404001920615,80.71283122480695,158.6768712440131,15.04306078641654,3.504382858221942,9.84326187870058
4,2,589.1175621680884,75.10547548623389,158.6768712440131,233.782346730247,15.04306078641654,3.927450399764825,10.266329420243464
4,3,653.2272153739643,72.21765326975299,233.782346730247,306.0,15.04306078641654,4.354848094090112,10.693727114568752
5,0,464.6342647717665,65.73051386626844,0.0,65.73051386626844,12.825677817352839,3.0975617651451097,9.43644078562375
5,1,513.9197275786336,63.510447974067226,65.73051386626844,129.24096184033567,12.825677817352839,3.4261314998165435,9.765010520295181
5,2,564.7310816785958,61.22164823983468,129.24096184033567,190.46261008017035,12.825677817352839,3.764873843108509,10.103752863587149
5,3,615.9464539598403,58.91464948842728,190.46261008017035,249.37725956859762,12.825677817352839,4.106309667232205,10.445188687710845
5,4,666.8268350257925,56.622740431402406,249.37725956859762,306.0,12.825677817352839,4.445512228862656,10.784391249341294
6,0,464.6342647717665,55.755014976228296,0.0,55.755014976228296,11.349303981626896,3.0975617651451097,9.43644078562375
6,1,506.1995430296465,53.88270514479226,55.755014976228296,109.63772012102055,11.349303981626896,3.374663582898103,9.713542603376743
6,2,548.7653758603299,51.96532528755427,109.63772012102055,161.60304540857481,11.349303981626896,3.6584357720763476,9.997314792554986
6,3,591.5668926142042,50.03732903737975,161.60304540857481,211.64037444595456,11.349303981626896,3.943779228767215,10.282658249245854
6,4,634.0760374321713,48.12250269422808,211.64037444595456,259.76287714018264,11.349303981626896,4.227173567004167,10.566052587482806
6,5,675.9314697560885,46.23712285981739,259.76287714018264,306.0,11.349303981626896,4.506209810520922,10.84508883099956
7,0,464.6342647717665,48.6366995620007,0.0,48.6366995620007,10.295793300321215,3.0975617651451097,9.43644078562375
7,1,500.73929738524157,47.0103467415739,48.6366995620007,95.6470463035746,10.295793300321215,3.33826198194144,9.677141002420079
7,2,537.5179850939161,45.35364909703901,95.6470463035746,141.0006954006136,10.295793300321215,3.5834532345669396,9.922332255045578
7,3,574.4167999526303,43.69154031961945,141.0006954006136,184.69223572023304,10.295793300321215,3.829445336286047,10.168324356764685
7,4,611.0406160261804,42.041818874864944,184.69223572023304,226.73405459509797,10.295793300321215,4.073604112093443,10.412483132572081
7,5,647.1102526260394,40.41706046946589,226.73405459509797,267.15111506456384,10.295793300321215,4.314068355625237,10.652947376103874
7,6,681.9237494814994,38.84888493543616,267.15111506456384,306.0,10.295793300321215,4.546158330846001,7.506158330846001
8,0,464.6342647717665,43.26220055840766,0.0,43.26220055840766,9.500367447789445,3.0975617651451097,9.43644078562375
8,1,496.6445082933648,41.8202976970744,43.26220055840766,85.08249825548207,9.500367447789445,3.3109633909863905,9.64984241146503
8,2,529.1116511262692,40.35781378568232,85.08249825548207,125.44031204116439,9.500367447789445,3.5274110137232135,9.866290034201853
8,3,561.1733727863704,38.913592089281366,125.44031204116439,164.35390413044576,9.500367447789445,3.7411558273971073,6.701155827397107
8,4,592.8198400560617,37.488075545601575,164.35390413044576,201.84197967604734,9.500367447789445,3.9521322731150446,6.912132273115046
8,5,623.9881060854051,36.08409959833386,201.84197967604734,237.9260792743812,9.500367447789445,4.159920709333513,7.119920709333513
8,6,654.5296108869325,34.70835613880559,237.9260792743812,272.6344354131868,9.500367447789445,4.363530738602526,7.323530738602526
8,7,684.3395833411636,33.3655645868132,272.6344354131868,306.0,9.500367447789445,4.562263888228324,7.5222638882283235
