N,T_sys_h,T_max_h,T_limit_h
1,29.709715,40.000000,10.000000
2,17.007776,40.000000,10.000000
3,13.922765,40.000000,10.000000
4,12.815320,40.000000,10.000000
5,10.784391,40.000000,10.000000
6,10.845089,40.000000,10.000000
7,10.652947,40.000000,10.000000
8,9.866290,40.000000,10.000000
9,7.534874,40.000000,10.000000
10,7.544973,40.000000,10.000000
11,7.553222,40.000000,10.000000
12,7.560081,40.000000,10.000000
13,7.565872,40.000000,10.000000
14,7.570822,40.000000,10.000000
15,7.575099,40.000000,10.000000
16,7.578830,40.000000,10.000000
