figure_id,x_variable,x_value,x_unit,runs_per_setting,valid_runs,reach_rate_90,reach_rate_95,reach_rate_99,t90_mean_h,t90_uA_h,t95_mean_h,t95_uA_h,t99_mean_h,t99_uA_h
16,UAV Speed,100,km/h,5,5,1,1,1,98.56,0,107.616,0.018,225.042,0.008
16,UAV Speed,110,km/h,5,5,1,1,1,89.764,0.002,97.146,0.043,205.392,0.007
16,UAV Speed,120,km/h,5,5,1,1,1,82.054,0.002,87.674,0.034,188.162,0.014
16,UAV Speed,130,km/h,5,5,1,1,1,75.852,0.002,80.432,0.012,174.272,0.012
16,UAV Speed,140,km/h,5,5,1,1,1,70.514,0.002,74.31,0.023,162.33,0.017
16,UAV Speed,150,km/h,5,5,1,1,1,65.602,0.002,68.704,0.01,151.298,0.015
16,UAV Speed,160,km/h,5,5,1,1,1,61.552,0.004,64.148,0.019,142.208,0.013
16,UAV Speed,170,km/h,5,5,1,1,1,57.926,0.002,60.084,0.002,134.176,0.007
16,UAV Speed,180,km/h,5,5,1,1,1,54.73,0,56.768,0.002,126.938,0.004
16,UAV Speed,190,km/h,5,5,1,1,1,51.752,0.002,53.674,0.002,120.126,0.007
16,UAV Speed,200,km/h,5,5,1,1,1,48.988,0.002,50.808,0.002,113.794,0.007
16,UAV Speed,210,km/h,5,5,1,1,1,46.862,0.002,48.592,0.002,108.918,0.004
16,UAV Speed,220,km/h,5,5,1,1,1,44.74,0,46.39,0,104.046,0.002
16,UAV Speed,230,km/h,5,5,1,1,1,42.83,0,44.404,0.002,99.666,0.005
16,UAV Speed,240,km/h,5,5,1,1,1,40.92,0,42.42,0,95.27,0.003
16,UAV Speed,250,km/h,5,5,1,1,1,39.218,0.002,40.664,0.002,91.366,0.004
16,UAV Speed,260,km/h,5,5,1,1,1,37.732,0.002,39.122,0.002,87.952,0.004
16,UAV Speed,270,km/h,5,5,1,1,1,36.46,0,37.8,0,85.018,0.002
16,UAV Speed,280,km/h,5,5,1,1,1,35.19,0,36.48,0,82.094,0.002
16,UAV Speed,290,km/h,5,5,1,1,1,33.922,0.002,35.16,0,79.16,0
16,UAV Speed,300,km/h,5,5,1,1,1,32.65,0,33.85,0,76.232,0.002
