figure_id,x_variable,x_value,x_unit,runs_per_setting,valid_runs,reach_rate_90,reach_rate_95,reach_rate_99,t90_mean_h,t90_uA_h,t95_mean_h,t95_uA_h,t99_mean_h,t99_uA_h,n_t90_raw,n_t95_raw,n_t99_raw,t90_uA_raw_h,t95_uA_raw_h,t99_uA_raw_h
16,UAV Speed,100.0,km/h,5,5,1.000,1.000,1.000,98.560,0.000,107.616,0.018,225.042,0.008,5,5,5,0.000,0.018,0.008
16,UAV Speed,110.0,km/h,5,5,1.000,1.000,1.000,89.764,0.002,97.146,0.043,205.392,0.007,5,5,5,0.002,0.043,0.007
16,UAV Speed,120.0,km/h,5,5,1.000,1.000,1.000,82.054,0.002,87.674,0.034,188.162,0.014,5,5,5,0.002,0.034,0.014
16,UAV Speed,130.0,km/h,5,5,1.000,1.000,1.000,75.852,0.002,80.432,0.012,174.272,0.012,5,5,5,0.002,0.012,0.012
16,UAV Speed,140.0,km/h,5,5,1.000,1.000,1.000,70.514,0.002,74.310,0.023,162.330,0.017,5,5,5,0.002,0.023,0.017
16,UAV Speed,150.0,km/h,5,5,1.000,1.000,1.000,65.602,0.002,68.704,0.010,151.298,0.015,5,5,5,0.002,0.010,0.015
16,UAV Speed,160.0,km/h,5,5,1.000,1.000,1.000,61.552,0.004,64.148,0.019,142.208,0.013,5,5,5,0.004,0.019,0.013
16,UAV Speed,170.0,km/h,5,5,1.000,1.000,1.000,57.926,0.002,60.084,0.002,134.176,0.007,5,5,5,0.002,0.002,0.007
16,UAV Speed,180.0,km/h,5,5,1.000,1.000,1.000,54.730,0.000,56.768,0.002,126.938,0.004,5,5,5,0.000,0.002,0.004
16,UAV Speed,190.0,km/h,5,5,1.000,1.000,1.000,51.752,0.002,53.674,0.002,120.126,0.007,5,5,5,0.002,0.002,0.007
16,UAV Speed,200.0,km/h,5,5,1.000,1.000,1.000,48.988,0.002,50.808,0.002,113.794,0.007,5,5,5,0.002,0.002,0.007
16,UAV Speed,210.0,km/h,5,5,1.000,1.000,1.000,46.862,0.002,48.592,0.002,108.918,0.004,5,5,5,0.002,0.002,0.004
16,UAV Speed,220.0,km/h,5,5,1.000,1.000,1.000,44.740,0.000,46.390,0.000,104.046,0.002,5,5,5,0.000,0.000,0.002
16,UAV Speed,230.0,km/h,5,5,1.000,1.000,1.000,42.830,0.000,44.404,0.002,99.666,0.005,5,5,5,0.000,0.002,0.005
16,UAV Speed,240.0,km/h,5,5,1.000,1.000,1.000,40.920,0.000,42.420,0.000,95.270,0.003,5,5,5,0.000,0.000,0.003
16,UAV Speed,250.0,km/h,5,5,1.000,1.000,1.000,39.218,0.002,40.664,0.002,91.366,0.004,5,5,5,0.002,0.002,0.004
16,UAV Speed,260.0,km/h,5,5,1.000,1.000,1.000,37.732,0.002,39.122,0.002,87.952,0.004,5,5,5,0.002,0.002,0.004
16,UAV Speed,270.0,km/h,5,5,1.000,1.000,1.000,36.460,0.000,37.800,0.000,85.018,0.002,5,5,5,0.000,0.000,0.002
16,UAV Speed,280.0,km/h,5,5,1.000,1.000,1.000,35.190,0.000,36.480,0.000,82.094,0.002,5,5,5,0.000,0.000,0.002
16,UAV Speed,290.0,km/h,5,5,1.000,1.000,1.000,33.922,0.002,35.160,0.000,79.160,0.000,5,5,5,0.002,0.000,0.000
16,UAV Speed,300.0,km/h,5,5,1.000,1.000,1.000,32.650,0.000,33.850,0.000,76.232,0.002,5,5,5,0.000,0.000,0.002
17,Scan Radius (R_scan = R_turn),10.0,km,1,0,0.000,0.000,0.000,,,,,,,0,0,0,,,
18,Target Speed,10.0,km/h,1,0,0.000,0.000,0.000,,,,,,,0,0,0,,,
