run_dir,strategy,partition_id,partition_mode,x_split_km,repeat_id,t90_h,t95_h,t99_h,run_end_h
20260405_155144_50715_9105,static_strip,figure3_n2,figure3_n2,,1,11.400000,12.080000,12.740000,13.010000
20260405_155152_50821_8499,static_strip,figure3_n2,figure3_n2,,2,11.400000,12.080000,12.740000,13.010000
20260405_155200_50999_8057,static_strip,figure3_n2,figure3_n2,,3,11.400000,12.080000,12.740000,13.010000
20260405_155208_51144_8386,static_strip,figure3_n2,figure3_n2,,4,11.400000,12.080000,12.740000,13.010000
20260405_155216_51221_9897,static_strip,figure3_n2,figure3_n2,,5,11.400000,12.080000,12.740000,13.010000
20260405_155224_51308_4607,strip_markov,figure3_n2,figure3_n2,,1,11.710000,12.450000,26.710000,34.500000
20260405_155233_51400_5947,strip_markov,figure3_n2,figure3_n2,,2,11.710000,12.450000,26.660000,34.470000
20260405_155242_51478_4670,strip_markov,figure3_n2,figure3_n2,,3,11.710000,12.450000,26.680000,34.490000
20260405_155252_51570_4687,strip_markov,figure3_n2,figure3_n2,,4,11.710000,12.450000,26.680000,34.430000
20260405_155301_51656_2770,strip_markov,figure3_n2,figure3_n2,,5,11.710000,12.450000,26.670000,34.450000
20260405_155310_51802_6931,strip_markov_dynamic,figure3_n2,figure3_n2,,1,11.940000,12.850000,18.800000,27.140000
20260405_155319_51893_7403,strip_markov_dynamic,figure3_n2,figure3_n2,,2,13.560000,16.130000,19.240000,26.080000
20260405_155328_51980_2285,strip_markov_dynamic,figure3_n2,figure3_n2,,3,12.680000,15.760000,19.610000,26.170000
20260405_155337_52056_5976,strip_markov_dynamic,figure3_n2,figure3_n2,,4,13.880000,15.550000,19.040000,29.070000
20260405_155346_52133_8080,strip_markov_dynamic,figure3_n2,figure3_n2,,5,12.450000,15.680000,19.520000,25.400000
20260405_155355_52224_9648,static_strip,equal_width_153,equal_width,153.0,1,14.660000,15.350000,16.160000,16.410000
20260405_155404_52410_4259,static_strip,equal_width_153,equal_width,153.0,2,14.660000,15.350000,16.160000,16.410000
20260405_155414_52490_3519,static_strip,equal_width_153,equal_width,153.0,3,14.660000,15.350000,16.160000,16.410000
20260405_155423_52577_5756,static_strip,equal_width_153,equal_width,153.0,4,14.660000,15.350000,16.160000,16.410000
20260405_155433_52672_7200,static_strip,equal_width_153,equal_width,153.0,5,14.660000,15.350000,16.160000,16.410000
20260405_155442_52750_4372,strip_markov,equal_width_153,equal_width,153.0,1,14.960000,15.760000,29.310000,37.460000
20260405_155453_52840_4052,strip_markov,equal_width_153,equal_width,153.0,2,14.960000,15.760000,29.300000,37.450000
20260405_155504_52999_1373,strip_markov,equal_width_153,equal_width,153.0,3,14.960000,15.750000,29.310000,37.450000
20260405_155514_53077_8131,strip_markov,equal_width_153,equal_width,153.0,4,14.960000,15.760000,29.290000,37.440000
20260405_155525_53167_3565,strip_markov,equal_width_153,equal_width,153.0,5,14.960000,15.760000,29.290000,37.460000
