run_dir,strategy,partition_id,partition_mode,x_split_km,repeat_id,t90_h,t95_h,t99_h,run_end_h
20260405_160910_60498_3879,static_strip,figure3_n2,figure3_n2,,1,11.400000,12.080000,12.740000,13.010000
20260405_160918_60590_7399,static_strip,figure3_n2,figure3_n2,,2,11.400000,12.080000,12.740000,13.010000
20260405_160926_60674_4380,static_strip,figure3_n2,figure3_n2,,3,11.400000,12.080000,12.740000,13.010000
20260405_160934_60777_3724,static_strip,figure3_n2,figure3_n2,,4,11.400000,12.080000,12.740000,13.010000
20260405_160941_60849_4808,static_strip,figure3_n2,figure3_n2,,5,11.400000,12.080000,12.740000,13.010000
20260405_160949_60921_3174,strip_markov,figure3_n2,figure3_n2,,1,11.710000,12.450000,26.680000,34.450000
20260405_160958_61015_2029,strip_markov,figure3_n2,figure3_n2,,2,11.710000,12.450000,26.720000,34.480000
20260405_161006_61163_8357,strip_markov,figure3_n2,figure3_n2,,3,11.710000,12.450000,26.680000,34.500000
20260405_161015_61234_6921,strip_markov,figure3_n2,figure3_n2,,4,11.710000,12.450000,26.690000,34.510000
20260405_161024_61316_9477,strip_markov,figure3_n2,figure3_n2,,5,11.710000,12.450000,26.660000,34.470000
20260405_161032_61387_3471,strip_markov_dynamic,figure3_n2,figure3_n2,,1,12.480000,14.690000,18.360000,22.820000
20260405_161041_61474_6576,strip_markov_dynamic,figure3_n2,figure3_n2,,2,13.050000,15.360000,19.640000,26.710000
20260405_161049_61566_3683,strip_markov_dynamic,figure3_n2,figure3_n2,,3,15.480000,18.300000,22.580000,25.880000
20260405_161058_61636_4040,strip_markov_dynamic,figure3_n2,figure3_n2,,4,12.050000,12.960000,17.410000,25.680000
20260405_161107_61778_3651,strip_markov_dynamic,figure3_n2,figure3_n2,,5,12.570000,15.270000,19.450000,25.340000
20260405_161115_61862_8923,static_strip,equal_width_153,equal_width,153.0,1,14.660000,15.350000,16.160000,16.410000
20260405_161124_61947_2399,static_strip,equal_width_153,equal_width,153.0,2,14.660000,15.350000,16.160000,16.410000
20260405_161133_62018_6118,static_strip,equal_width_153,equal_width,153.0,3,14.660000,15.350000,16.160000,16.410000
20260405_161143_62089_6448,static_strip,equal_width_153,equal_width,153.0,4,14.660000,15.350000,16.160000,16.410000
20260405_161152_62173_6997,static_strip,equal_width_153,equal_width,153.0,5,14.660000,15.350000,16.160000,16.410000
20260405_161201_62247_3599,strip_markov,equal_width_153,equal_width,153.0,1,14.960000,15.760000,29.310000,37.470000
20260405_161211_62403_4458,strip_markov,equal_width_153,equal_width,153.0,2,14.960000,15.750000,29.280000,37.460000
20260405_161221_62485_7294,strip_markov,equal_width_153,equal_width,153.0,3,14.960000,15.750000,29.310000,37.470000
20260405_161231_62556_3691,strip_markov,equal_width_153,equal_width,153.0,4,14.960000,15.760000,29.320000,37.490000
20260405_161241_62641_2119,strip_markov,equal_width_153,equal_width,153.0,5,14.960000,15.750000,29.270000,37.440000
20260405_161252_62726_2612,strip_markov_dynamic,equal_width_153,equal_width,153.0,1,15.270000,16.310000,22.320000,30.600000
20260405_161302_62863_7440,strip_markov_dynamic,equal_width_153,equal_width,153.0,2,17.690000,21.720000,25.460000,29.480000
20260405_161312_62937_3597,strip_markov_dynamic,equal_width_153,equal_width,153.0,3,16.010000,18.840000,23.030000,31.980000
20260405_161322_63020_7185,strip_markov_dynamic,equal_width_153,equal_width,153.0,4,15.270000,16.310000,22.330000,30.540000
20260405_161332_63092_7751,strip_markov_dynamic,equal_width_153,equal_width,153.0,5,15.770000,18.130000,21.820000,27.810000
20260405_161342_63177_9005,static_strip,gradient_060,gradient,60.0,1,20.580000,21.710000,27.030000,28.390000
20260405_161353_63259_1634,static_strip,gradient_060,gradient,60.0,2,20.580000,21.710000,27.030000,28.390000
20260405_161404_63397_5183,static_strip,gradient_060,gradient,60.0,3,20.580000,21.710000,27.030000,28.390000
20260405_161414_63481_1382,static_strip,gradient_060,gradient,60.0,4,20.580000,21.710000,27.030000,28.390000
20260405_161425_63566_2682,static_strip,gradient_060,gradient,60.0,5,20.580000,21.710000,27.030000,28.390000
20260405_161436_63635_5677,strip_markov,gradient_060,gradient,60.0,1,20.730000,21.880000,27.670000,41.490000
20260405_161448_63723_7754,strip_markov,gradient_060,gradient,60.0,2,20.720000,21.870000,27.670000,41.490000
20260405_161500_63811_3150,strip_markov,gradient_060,gradient,60.0,3,20.730000,21.880000,27.680000,41.490000
20260405_161511_63963_9825,strip_markov,gradient_060,gradient,60.0,4,20.720000,21.870000,27.670000,41.500000
20260405_161523_64048_9417,strip_markov,gradient_060,gradient,60.0,5,20.730000,21.880000,27.680000,41.500000
20260405_161535_64218_3040,strip_markov_dynamic,gradient_060,gradient,60.0,1,23.350000,27.950000,33.680000,41.630000
20260405_161547_64311_5115,strip_markov_dynamic,gradient_060,gradient,60.0,2,22.030000,23.390000,33.730000,44.550000
20260405_161559_64400_1077,strip_markov_dynamic,gradient_060,gradient,60.0,3,22.500000,25.810000,31.330000,41.360000
20260405_161611_64548_9049,strip_markov_dynamic,gradient_060,gradient,60.0,4,23.610000,26.130000,30.150000,41.940000
20260405_161623_64708_6164,strip_markov_dynamic,gradient_060,gradient,60.0,5,25.140000,28.140000,30.540000,42.690000
20260405_161635_64781_3496,static_strip,gradient_070,gradient,70.0,1,19.930000,21.190000,22.190000,22.420000
20260405_161646_64877_6144,static_strip,gradient_070,gradient,70.0,2,19.930000,21.190000,22.190000,22.420000
20260405_161656_64963_1828,static_strip,gradient_070,gradient,70.0,3,19.930000,21.190000,22.190000,22.420000
20260405_161707_65108_2739,static_strip,gradient_070,gradient,70.0,4,19.930000,21.190000,22.200000,22.420000
20260405_161717_65198_4486,static_strip,gradient_070,gradient,70.0,5,19.930000,21.190000,22.200000,22.420000
20260405_161727_65281_5748,strip_markov,gradient_070,gradient,70.0,1,20.100000,21.360000,22.400000,42.510000
20260405_161739_65358_8355,strip_markov,gradient_070,gradient,70.0,2,20.100000,21.360000,22.400000,42.540000
20260405_161750_65435_9132,strip_markov,gradient_070,gradient,70.0,3,20.100000,21.360000,22.400000,42.560000
20260405_161801_65520_9607,strip_markov,gradient_070,gradient,70.0,4,20.100000,21.360000,22.400000,42.530000
20260405_161812_65673_1569,strip_markov,gradient_070,gradient,70.0,5,20.100000,21.360000,22.400000,42.540000
20260405_161823_65767_1124,strip_markov_dynamic,gradient_070,gradient,70.0,1,22.770000,25.810000,29.550000,41.260000
20260405_161835_65842_1486,strip_markov_dynamic,gradient_070,gradient,70.0,2,21.660000,23.560000,33.160000,41.490000
20260405_161847_65933_6501,strip_markov_dynamic,gradient_070,gradient,70.0,3,21.690000,25.310000,33.260000,39.800000
20260405_161858_66017_6688,strip_markov_dynamic,gradient_070,gradient,70.0,4,21.710000,23.240000,32.760000,42.780000
20260405_161910_66152_8704,strip_markov_dynamic,gradient_070,gradient,70.0,5,21.670000,23.130000,31.280000,39.860000
20260405_161921_66247_8981,static_strip,gradient_080,gradient,80.0,1,18.940000,20.770000,22.160000,22.480000
20260405_161931_66318_1387,static_strip,gradient_080,gradient,80.0,2,18.940000,20.770000,22.160000,22.480000
20260405_161941_66389_2451,static_strip,gradient_080,gradient,80.0,3,18.940000,20.770000,22.160000,22.480000
20260405_161951_66475_1758,static_strip,gradient_080,gradient,80.0,4,18.940000,20.770000,22.160000,22.480000
20260405_162001_66566_2585,static_strip,gradient_080,gradient,80.0,5,18.940000,20.770000,22.160000,22.480000
20260405_162011_66704_5854,strip_markov,gradient_080,gradient,80.0,1,19.170000,21.070000,22.970000,43.680000
20260405_162022_66786_6076,strip_markov,gradient_080,gradient,80.0,2,19.170000,21.070000,22.950000,43.680000
20260405_162033_66859_1715,strip_markov,gradient_080,gradient,80.0,3,19.170000,21.070000,22.950000,43.670000
20260405_162045_66946_7396,strip_markov,gradient_080,gradient,80.0,4,19.170000,21.070000,22.930000,43.680000
20260405_162056_67033_9549,strip_markov,gradient_080,gradient,80.0,5,19.170000,21.070000,22.980000,43.670000
20260405_162107_67183_1304,strip_markov_dynamic,gradient_080,gradient,80.0,1,22.110000,25.360000,30.320000,41.610000
20260405_162118_67261_4205,strip_markov_dynamic,gradient_080,gradient,80.0,2,21.920000,25.900000,30.060000,39.070000
20260405_162129_67343_9209,strip_markov_dynamic,gradient_080,gradient,80.0,3,21.870000,26.230000,29.940000,39.550000
