strategy,partition_id,partition_mode,x_split_km,valid_runs,reach_rate_90,t90_avg_h,t90_std_h,t90_uA_h,reach_rate_95,t95_avg_h,t95_std_h,t95_uA_h,reach_rate_99,t99_avg_h,t99_std_h,t99_uA_h
static_strip,equal_width_153,equal_width,153.0,5,1.000000,14.660000,0.000000,0.000000,1.000000,15.350000,0.000000,0.000000,1.000000,16.160000,0.000000,0.000000
static_strip,figure3_n2,figure3_n2,,5,1.000000,11.400000,0.000000,0.000000,1.000000,12.080000,0.000000,0.000000,1.000000,12.740000,0.000000,0.000000
static_strip,gradient_060,gradient,60.0,5,1.000000,20.580000,0.000000,0.000000,1.000000,21.710000,0.000000,0.000000,1.000000,27.030000,0.000000,0.000000
static_strip,gradient_070,gradient,70.0,5,1.000000,19.930000,0.000000,0.000000,1.000000,21.190000,0.000000,0.000000,1.000000,22.194000,0.005477,0.002449
static_strip,gradient_080,gradient,80.0,5,1.000000,18.940000,0.000000,0.000000,1.000000,20.770000,0.000000,0.000000,1.000000,22.160000,0.000000,0.000000
static_strip,gradient_090,gradient,90.0,5,1.000000,18.250000,0.000000,0.000000,1.000000,25.710000,0.000000,0.000000,1.000000,27.970000,0.000000,0.000000
static_strip,gradient_100,gradient,100.0,5,1.000000,17.560000,0.000000,0.000000,1.000000,18.690000,0.000000,0.000000,1.000000,27.040000,0.000000,0.000000
static_strip,gradient_110,gradient,110.0,5,1.000000,16.920000,0.000000,0.000000,1.000000,18.180000,0.000000,0.000000,1.000000,19.190000,0.000000,0.000000
static_strip,gradient_120,gradient,120.0,5,1.000000,15.920000,0.000000,0.000000,1.000000,17.750000,0.000000,0.000000,1.000000,19.140000,0.000000,0.000000
static_strip,gradient_130,gradient,130.0,5,1.000000,15.320000,0.000000,0.000000,1.000000,25.710000,0.000000,0.000000,1.000000,27.976000,0.005477,0.002449
static_strip,gradient_140,gradient,140.0,5,1.000000,14.920000,0.000000,0.000000,1.000000,15.690000,0.000000,0.000000,1.000000,27.040000,0.000000,0.000000
static_strip,gradient_150,gradient,150.0,5,1.000000,14.690000,0.000000,0.000000,1.000000,15.380000,0.000000,0.000000,1.000000,16.170000,0.000000,0.000000
static_strip,gradient_160,gradient,160.0,5,1.000000,14.600000,0.000000,0.000000,1.000000,15.290000,0.000000,0.000000,1.000000,16.130000,0.000000,0.000000
static_strip,gradient_170,gradient,170.0,5,1.000000,15.300000,0.000000,0.000000,1.000000,25.710000,0.000000,0.000000,1.000000,27.970000,0.000000,0.000000
static_strip,gradient_180,gradient,180.0,5,1.000000,15.300000,0.000000,0.000000,1.000000,17.500000,0.000000,0.000000,1.000000,27.038000,0.004472,0.002000
static_strip,gradient_190,gradient,190.0,5,1.000000,15.600000,0.000000,0.000000,1.000000,17.360000,0.000000,0.000000,1.000000,18.570000,0.000000,0.000000
static_strip,gradient_200,gradient,200.0,5,1.000000,16.610000,0.000000,0.000000,1.000000,17.740000,0.000000,0.000000,1.000000,18.650000,0.000000,0.000000
static_strip,gradient_210,gradient,210.0,5,1.000000,16.170000,0.000000,0.000000,1.000000,25.710000,0.000000,0.000000,1.000000,27.970000,0.000000,0.000000
static_strip,gradient_220,gradient,220.0,5,1.000000,16.200000,0.000000,0.000000,1.000000,17.500000,0.000000,0.000000,1.000000,27.030000,0.000000,0.000000
static_strip,gradient_230,gradient,230.0,5,1.000000,16.378000,0.004472,0.002000,1.000000,17.360000,0.000000,0.000000,1.000000,18.570000,0.000000,0.000000
static_strip,gradient_240,gradient,240.0,5,1.000000,16.778000,0.004472,0.002000,1.000000,17.740000,0.000000,0.000000,1.000000,18.650000,0.000000,0.000000
strip_markov,equal_width_153,equal_width,153.0,5,1.000000,14.960000,0.000000,0.000000,1.000000,15.754000,0.005477,0.002449,1.000000,29.298000,0.021679,0.009695
strip_markov,figure3_n2,figure3_n2,,5,1.000000,11.710000,0.000000,0.000000,1.000000,12.450000,0.000000,0.000000,1.000000,26.686000,0.021909,0.009798
strip_markov,gradient_060,gradient,60.0,5,1.000000,20.726000,0.005477,0.002449,1.000000,21.876000,0.005477,0.002449,1.000000,27.674000,0.005477,0.002449
strip_markov,gradient_070,gradient,70.0,5,1.000000,20.100000,0.000000,0.000000,1.000000,21.360000,0.000000,0.000000,1.000000,22.400000,0.000000,0.000000
strip_markov,gradient_080,gradient,80.0,5,1.000000,19.170000,0.000000,0.000000,1.000000,21.070000,0.000000,0.000000,1.000000,22.956000,0.019494,0.008718
strip_markov,gradient_090,gradient,90.0,5,1.000000,18.610000,0.000000,0.000000,1.000000,26.194000,0.005477,0.002449,1.000000,28.494000,0.005477,0.002449
strip_markov,gradient_100,gradient,100.0,5,1.000000,17.920000,0.000000,0.000000,1.000000,19.058000,0.004472,0.002000,1.000000,28.330000,0.007071,0.003162
